3603,101.19,1070.6,48.689,1173,25.639,96.682,210.8,936.2,52.956,979.75,141.85,1113.9,162.35,1122.4,189.39,843.51,92.607,1073.2,278.45,1193.5,161.05,1014.6
3903,118.81,1116.2,55.102,1206,61.743,316.8,267.3,965.59,66.344,969.27,184.91,1131.2,210.39,1212.4,246.75,946.72,113.84,1127.4,339.92,1273.6,200.81,1136.8
4203,179.64,1118.8,86.105,1229.9,181.51,660.27,392.33,975.01,129.31,1062.9,303.52,1220,318.09,1230.5,361.07,952.09,155.13,1106.6,499.94,1361.3,328.38,1223.7
4503,173.21,951.75,72.121,974.23,170.13,618.05,350.07,848.79,113.15,824.21,258.07,977.97,229.59,837.48,297.25,733.52,81.218,594.81,393.02,1029,252,909.47
4804,283.12,917.53,121.23,992.36,257.18,631.83,555.91,803.2,239.63,869.26,449.95,949.52,474.26,1024.6,523.78,764.87,231.21,1005.2,734.48,1169.6,482.47,1001.7
5103,283.87,951.55,120.88,1030.2,279.11,652.16,588.06,848.37,255.98,934.78,466.87,1009.5,504.17,1095.2,515.18,758.46,234.17,1057.8,670.13,1227.4,442.79,991.9
5403,413.39,766.56,216.2,882.54,351.4,549.8,821.36,705.46,381.65,752.45,671.38,809.67,611.61,801.32,693.97,596.72,328.17,882.97,1027.7,997.89,683.87,817.98
5703,488.71,684.62,254.41,789.53,439.2,495.08,986.25,634.31,505.22,673.5,862.1,763.36,71.161,141.8,881.04,584.88,419.43,786.22,1161.1,907.24,831.41,759.27
6003,508.69,662.21,279.73,786.58,545.73,586.49,1082.8,661.27,567.53,717.33,967.91,822.12,1016.9,905.3,989.1,643.55,498.5,846.05,1234,937.56,907.44,805.82
6303,548.88,603.77,304.02,678.04,587.15,535.58,1242.3,608.39,643.47,628.46,1076.3,717.85,1074.1,810.65,1024.8,578.46,533.8,745.74,1281.6,838.51,949.67,708.09
6603,568.05,425.02,332.67,492.1,648.18,408.79,1319.2,470.02,712.21,478.12,1181.6,528.27,1171.5,601.35,1077.7,410.64,576.54,539.3,1320.1,600.48,994.87,504.48
6903,699.03,482.75,379.56,499.91,610.43,382.91,1603.3,515.61,763.49,462.65,1301.4,519.18,1139.3,562.3,1093,406.49,672.58,564.85,1466,628.29,1129.9,531.53
7203,764.78,493.2,419.78,543.14,722.71,411.49,1787.8,522.09,913.93,508.73,1517.3,567.91,1380.2,649.02,1234,431.86,777.59,598.8,1547.2,680.56,1222.3,567.59
7503,741.51,451.39,471.01,547.41,709.83,382.38,1652.5,468.02,986.96,511.3,1561.3,582.91,1477.2,651.21,1316.4,446.77,818.09,596.23,1674.9,719.42,1229.6,579.98
7803,716.44,383.02,423.59,426.43,721.83,320.41,1631.3,382.07,950.97,391.04,1483.9,444.05,1325.9,514.03,1231.8,358.95,776.57,461.36,1513.5,561.1,1081,449.46
8103,950.46,444.81,536.63,469.18,842.91,364.01,2015.3,432.06,1138.4,427.64,1793.2,501.55,1655.6,571.44,1459.6,387.01,975.23,506.06,1905.8,641.56,1359.9,492.27
8403,624.95,225.36,454.56,300.37,632.85,228.61,1153.4,219.06,879.08,273.26,1547.4,344.61,1465.8,391.93,1279,257.41,880.77,323.15,1532.3,393.68,1052.3,308.5
8703,978.85,391.13,548.04,407.78,884.96,320.85,1998.3,360.98,1114.2,362.83,1826.5,449.48,1604.2,503.53,1473.4,345.49,997.27,430.77,1865.2,571.1,1283.6,435.15
9003,915.45,307.76,509.77,305.92,823.03,266.12,1973.4,299.3,1033.3,285.37,1626,340.21,1401.2,371.32,1304.5,247.82,881.86,314.33,1674.4,426.85,1084.8,313.51
9303,913.14,407.1,529.23,405.57,824.68,333.68,1823.4,376.27,1013.1,365.76,1718,452.72,1490,517.15,1401.3,340.89,1000.2,438.22,1753.2,607.16,1144.3,439.64
9603,949.53,292.29,564.09,313.61,826.03,245.84,1761.1,260.04,1089.5,265.2,1822.3,341.12,1575.7,413.84,1463.9,262.52,1048,350.26,1817.3,474.63,1202.1,328.22
9903,815.82,287.17,474.4,297.56,843.17,257.45,1844.9,277.68,1015.9,269.91,1599.2,334.18,1235.5,373.89,1228.4,235.6,845.89,306.85,1475.1,433.96,929.1,294.25
10203,854.09,310.39,495.37,332.37,817.05,264.4,1702.9,273.27,1007.6,289.07,1665.5,376.83,1308.1,425.28,1350.2,273.72,923.49,348.13,1568.5,487.88,1008.3,341.27
10503,763.62,336.16,421,359.11,766.52,275.88,1628.7,302.8,890.15,305.7,1519.2,419.89,1164.2,459.34,1188,293.48,832.01,374.65,1311,520.29,863.77,363.19
10803,871.13,348.43,497.81,394.24,773.69,305.05,1587.2,314.8,950.09,340.59,1727.5,467.35,1305.3,508.13,1415,329.52,932.51,399.2,1532.8,575.07,977.76,387.58
