17379,5838.9,560.3,6864.8,559.66,8585.1,615.2,5199.3,587.09,5463.1,545.94,6664.1,582.19,3878,555.3
17618,5903.8,559.41,6050.2,535.13,8455.1,618.17,4919.5,578.89,5299.4,541.31,6128.5,566.99,3755.4,541.44
17859,5343.3,569.76,6556.7,567.86,7487.3,601.75,5094,597.99,4929,546.68,6605.4,591.57,3793.9,549.91
18098,6375.1,575.8,6474,550.24,8669.3,639.91,5300.6,585.99,5756.1,556.5,6530.9,573.58,4010.4,544.79
18339,6375.8,564.43,6409.4,539.14,8647.5,625.4,5417.2,580.02,5657.9,542.53,6550.2,569.74,4167.6,540.49
18577,5221.4,556.61,5748.5,532.34,8266.3,626.62,5318.4,582.48,5455.6,545.86,6237.3,559.87,4327.7,545.5
18818,6826.2,581.54,6731.1,549.01,7616,613.06,6229.5,605.48,5936.9,554.81,6899.4,582.77,4462.8,554.89
19058,6734.2,581.03,6225.9,534.18,8271.7,624.5,6043.1,596.44,5898.2,549.21,6545.6,573.54,4622.2,548.16
19298,6414.9,564.74,6026.8,526.85,7581.8,600.03,6202.1,597.09,5714.9,539.44,6357.9,560.89,4696.3,542.32
19538,5013.5,563.33,5707.6,531.73,7211.7,605.99,6196.3,606.67,5490,544.96,6161.2,557.37,4706.4,542.43
19778,6861.5,576.4,7212.7,550.03,6805.5,599.49,7588.1,631.76,6205.3,554.6,7710.5,594.01,4799.7,542.16
20018,6681.1,581.9,6978.5,553.55,6943.9,609.1,7559.2,633.47,5966.4,547.84,7835.4,599.58,4726.4,532.17
20258,6235.1,560.25,6834.1,539.29,7447.5,591.93,7455.4,614.12,5509.1,526.73,7638.4,587.9,4629.1,517.99
20498,5366.1,585.75,6543.9,564.65,7162.8,609.05,7221,637.55,5169.9,543.65,7565,616.33,4455.2,533.23
20739,6579.9,569.14,7463.3,550.82,7113.7,598.74,7763,613.78,6249.8,529.11,7930.2,592.39,4915.6,517.53
20979,5819.5,561.4,7245.6,557.21,7610.4,598.08,7457.1,611.35,5758.9,527.34,8021.5,602.8,4493.9,506.06
21218,6088.8,553.72,6871.5,534.39,7447.7,589.29,7174.9,591.59,6145.6,529.51,7742.8,584.26,4850,506.48
21458,6889,578.16,7616.5,559.27,7487.2,601.04,7860.4,605.42,6857.8,554.89,8074.2,593.19,5180.8,528.12
21698,6616.6,575.61,7439.7,563.54,7432,592.37,7608.4,593.17,6720.7,550.48,7954,585.3,5103.4,521.78
21938,6499.9,580.86,7207,557.8,7039.7,587.15,7790.2,604.14,6570.1,559.87,7803.7,583.42,4980.6,518.01
22177,5923.5,574.56,6643.6,543.61,6731.1,568.31,6761.4,572.49,6172.5,545.91,7602.5,572.63,4906.8,513.85
22418,6575.7,596.48,7151.4,564.61,7261.8,588.8,7476.6,597.62,6362.9,558.53,7817,588.33,4891,523.09
22658,6512.1,587.39,7337.5,570.59,7224.1,587.36,8170.9,613.73,6374.9,556.73,7829.5,584.52,4636.6,513.25
22899,6343.3,562.97,7533.1,562.03,7135.9,576.99,8277.5,616.93,6053.6,543.87,7878.9,575.48,4310,496.21
23138,4956.7,541.62,6957.6,552.57,6277.3,563.16,7928.3,597.95,5431.8,522.8,7401.9,563.04,4301.7,497.25
23377,6420.1,568.07,8184.3,585.53,6987.9,572.91,8706.3,616.53,6202.6,529.98,8048.8,578.58,4713.4,512.48
23618,5733.9,559.01,7733.9,579.86,6506.9,574.8,8224.8,597.44,7188,553.73,7678.4,578.38,4887,504.57
23859,4820.8,528,7705,571.15,6104.8,556.55,8028.1,595.65,6381.6,530.9,7506.1,567.7,4735.7,497.78
24098,5141.6,540.48,7327.2,558.14,6060.8,561.43,7533.2,571.43,7314.1,553.68,7353.9,563.58,4864.7,502.58
24339,5456.8,555.85,7999.7,581.05,6506.3,576.29,7483.5,581.7,7828.8,568.75,7753.4,577.59,5185.1,518.95
24579,5737.1,558.9,7659.6,570.74,6341.1,568.45,7837.6,572.44,7907,570.02,7837.8,585.97,4915.3,504.31
24819,5513.2,537.79,7308,536.51,5551.5,533.6,7194.4,553.33,7835,554.98,7584,569.75,4935.8,504.76
25058,5087.9,550.83,6947.1,544.47,6286.5,572.59,7947.3,576.09,7560.3,555.43,7257.2,573.23,4521.1,492.78
25297,6077.3,575.19,7650.1,562.93,6696.8,568.72,7776.9,574.92,8058.2,567,7811,588.31,4570,506.06
25538,5649,571.45,7554.7,558.86,6482.6,564.36,8101.9,583.73,7568.1,567.31,7510.9,587.6,4151.8,496.4
25778,4751,553.39,7067.8,554.25,6339.8,572.74,7808.9,577.56,6701.5,544.67,7166.2,579.44,4360.6,495.28
26018,6123.4,579.33,8161.5,584.4,7292.6,584.57,8458.1,596.2,6931.6,553.03,7609.1,588.71,4609.8,504.27
26259,5726,568.72,7707.9,570.2,7141.6,578.24,8268,586.76,7875.6,561.15,7425.8,578.21,4719,501.75
26498,5710.9,561.02,7624.6,565.42,6606.9,560.68,8157.9,585.2,7927.4,562.24,7450.1,579.04,4816.5,504.47
26738,5610.4,551.95,7415.3,562.04,6185.6,544.6,7848,573.96,7973.7,565.62,7145.8,562.34,4845,507.44
