20702,428.25,355.11,723.77,545.07,480.63,460.12,414.02,412.23,425.52,415.19,627.66,622.22,478.62,358.18,423.63,955.65,693.29,430.76,451.41,470.58
21003,674.19,427.65,933.23,606.19,713.17,583.8,560.05,497.44,632.1,497.55,892.9,771.23,621.51,418.99,565.82,1124.9,974.19,509.7,652.92,564.8
21303,502.75,316.8,844.47,531.48,647.82,496.33,481,451.54,694.25,459.15,767,637.31,609.19,392.17,605.14,1135.7,965.79,484.05,626.26,531.47
21602,647.85,432.11,866.42,584.76,674.55,570.11,545.21,556.94,766.9,510.82,752.2,681.6,578.54,427.86,554.78,1237.9,973.52,546.27,584.15,567.42
21902,716.1,329.05,904.42,497.75,755.81,459.72,569.33,441.74,914.57,446.92,691.62,504.24,644.36,358.53,713.12,1087.4,1183.6,464.43,702.6,484.11
22203,633.63,281.16,825.2,416.96,618.95,354.45,432.02,314.68,828.75,340.47,566.76,355.68,581.29,297.18,632.5,871.04,1009.5,389.16,585.53,382.87
22502,1096.7,392.08,1161.6,523.99,1029.8,508.78,830.36,529.09,1284.1,474.55,1069,604.6,850.51,380.9,895.1,1097.4,1541.2,495.05,880.29,494.44
22802,1164,430.07,1194.9,573.08,1049.8,587.42,752.75,527.48,1367.8,511.87,1033.5,633.03,917.07,431.5,941.96,1194.4,1616.4,543.72,942.08,544.21
23103,941.07,313.25,1035.9,427.38,868.77,405.04,518.84,329.91,1274.4,399.11,683.82,382.81,856.53,354.37,917.51,981.87,1466,431.84,888.43,444.39
23403,1570.4,319.88,1391.2,418.84,1354.1,399.75,906.23,364.23,1766.4,360.72,1148,414.06,1332.6,343.13,1254.9,851.52,2090,402.3,1306.7,420.96
23702,1388,295.31,1255.6,379.71,1163.1,356.93,687.08,281.56,1607.1,329.26,977.17,347.42,1201.1,307.7,1130,777.83,1909.7,362.69,1147.5,379.52
24002,1478.8,346.32,1323.7,436.41,1291,438.08,540.36,291.98,1774.4,408.36,1028,430.81,1413.1,398.73,1261.4,964.34,2045,446.43,1233,470.28
24302,1613.5,310.2,1451.1,399.85,1373.2,372.88,776.45,292.41,1921.7,353.69,1034.2,354.71,1546.3,349.85,1290.1,823.87,2224.9,400.45,1315.6,418.03
24602,2004.3,321.95,1780.1,403.87,1735.9,398.53,1045.3,348.27,2308.6,390.17,1403.9,412.27,1919,366.08,1523.4,838.35,2586.9,404.98,1569.4,435.32
24902,1679.3,367.01,1553.4,453.12,1455.2,472.72,980.84,449.2,1991.2,437.15,1277.5,490.11,1580.9,408.86,1276.7,958.1,2339.5,468.36,1292.9,505.61
25202,1546.3,347.95,1531.8,418.91,1444.8,436.86,982.08,432.54,1913,425.4,1261.3,474.54,1485.8,376.55,1151.2,874.2,2170.1,452.53,1180.8,474
25502,1746.2,317.33,1645.3,413.88,1630.3,450.58,946,393.01,2125,406.47,1175.8,398.25,1779,368.79,1408.4,870.69,2640.5,450.44,1492.2,477.73
