7201,24.129,927.71,17.105,952.54,24.223,822.23,17.201,975.75,16.808,735.35,22.163,591.58,45.447,1103.4,33.103,1160.4,32.797,947.86
7501,24.001,925.54,19.156,999.79,21.841,846.51,15.004,953.45,7.5157,811.59,18.371,673.14,47.276,1218.3,33.565,1228.7,35.417,1052.7
7801,22.535,1054.1,19.771,1146.8,27.15,1019,16.555,1170.8,12.505,1023.2,21.924,829.69,51.668,1377.6,35.5,1480,32.419,1225.2
8101,22.622,997.04,18.059,1066.1,25.525,1013.4,15.377,1086.5,13.37,941.36,19.855,707.4,48.013,1152.5,31.353,1312.9,32.785,1038.7
8401,14.148,637.15,14.785,704.34,19.482,684.36,11.893,752.46,7.1307,650.35,17.479,512.9,41.61,869.14,26.005,889.39,27.34,631.96
8701,11.365,706.13,13.05,733.75,14.594,789.19,8.634,819.33,8.3636,678.65,15.169,508.58,37.339,819.28,21.78,971.43,24.296,711.7
9001,20.251,911.78,17.976,1044.9,21.664,1019,16.497,1143.8,11.78,881.67,21.428,686.94,44.975,1156.9,29.045,1305.1,41.31,1137.2
9301,17.095,649.46,14.715,735.55,21.797,751.97,13.747,830.01,10.594,624.48,18.153,552.6,42.563,924.41,29.081,894.86,36.499,773.6
9601,19.718,738.59,21.985,841.12,28.035,856.86,18.274,874.57,10.744,657.83,18.409,564.28,43.193,911.29,25.081,982.29,36.64,885.07
9901,14.69,591.71,17.174,670.27,16.991,691.71,7.2418,701.85,5.572,571.79,14.792,507.48,34.749,785.26,26.558,789.49,31.901,720.49
10201,18.128,778.2,21.534,916.26,25.904,880.73,21.118,943.76,14.683,721.49,22.067,621.77,41.271,917.25,23.419,1005.8,36.787,926.53
10501,20.85,938.85,24.974,1123.5,30.925,1072,23.045,1178.1,10.905,879.11,24.214,799.49,47.738,1136.4,27.931,1228.4,34.394,1060.8
10801,19.601,755.78,26.286,937.06,31.289,864.53,26.409,990.61,12.074,764.21,32.203,802.29,46.641,1034.4,33.455,1133.6,42.785,1000.2
11101,20.455,727.06,29.868,905.37,25.63,876.44,26.816,975.37,13.617,688.48,24.217,663.17,46.943,938.4,28.55,1033.7,35.748,903.49
11402,24.445,681.38,33.657,838.46,24.493,798.24,27.783,909.66,11.27,626.21,24.648,627.71,41.532,873.59,26.654,964.76,34.872,821.56
11701,27.895,462.59,34.706,577.74,27.137,562,21.988,573.77,15.12,435.98,24.239,429.44,49.798,625.78,29.153,631.44,33.283,582.52
12002,26.639,556.53,42.088,678.85,28.977,699.08,20.25,706.14,17.535,516.4,26.051,498.81,51.344,677.43,24.533,776.86,28.512,696.68
12301,59.36,682.42,77.486,816.68,61.948,840.38,44.961,966.08,29.844,677.42,39.314,625.47,80.904,783.38,34.033,889.6,50.48,856.54
12601,77.354,563.49,91.575,615.95,86.961,676.94,55.274,692.55,43.382,509.55,53.87,479.07,97.884,610.14,41.517,705.98,57.703,664.32
12901,109.57,606.25,130.56,626.4,118.97,703.88,76.294,705.17,55.449,533.05,68.887,483.49,125.35,590.2,45.875,724.44,69.955,674.27
13201,127.73,862.88,169.08,882.06,160.43,1021.3,95.899,1024.2,74.91,852.9,88.602,719.11,164.34,811.58,57.89,1074,81.178,996.08
13508,156.4,636.52,194.59,613.74,174.58,737.38,102.95,680,87.793,572.77,93.674,474.27,170.13,570.63,61.03,775.83,93.629,690.74
13809,154.11,785.49,203.42,754.95,183.17,910.93,107.01,838.44,92.051,764.06,98.945,572,200.07,684.89,61.87,996.95,98.466,898.47
14101,163.7,940.68,209.91,856.07,193.19,989.66,115.12,954.29,90.694,918.11,100.37,676.96,196.1,771.15,59.821,1121.1,93.823,962.58
